geo,nace_r2,AIIE_Index,Total_Employment
EE,B,0.2308054085831864,1.1
EE,C,0.37906557006494446,123.5
EE,D,0.6692596576168005,4.2
EE,E,0.547255291005291,1.1
EE,F,0.3610796779199209,58.3
EE,G,0.4982108628912774,89.9
EE,H,0.3990963030119341,50.2
EE,I,0.46772360326688434,20.400000000000002
EE,J,0.7160802986975741,35.599999999999994
EE,K,0.6951979944660667,16.6
EE,L,0.358056598180055,8.1
EE,M,0.6961869133006978,28.5
EE,N,0.40300673387594577,20.7
EE,O,0.6019253575229011,38.9
EE,P,0.6477648292704156,64.5
EE,Q,0.5926631082771172,45.6
EE,R,0.6173978911610248,15.5
EE,S,0.5040390346533266,19.8
EL,A,0.23758006957298067,460.09999999999997
EL,B,0.23225900197429553,7.199999999999999
EL,C,0.3884994439841528,412.8
EL,D,0.5493433160014487,31.5
EL,E,0.31941019050870945,34.8
EL,F,0.2816732450538673,147.5
EL,G,0.465511673916544,716.3000000000001
EL,H,0.4016080346365253,203.9
EL,I,0.44306516282863284,376.3
EL,J,0.6408601669302655,105.39999999999999
EL,K,0.6241733850883744,73.1
EL,L,0.585760331575736,8.3
EL,M,0.6890167429859937,257.3
EL,N,0.463207230862725,91.4
EL,O,0.5493590374050635,303.5
EL,P,0.7077816090899554,343.4
EL,Q,0.6590604912219178,288.5
EL,R,0.5867345508557684,58.7
EL,S,0.471221651293754,90.9
EL,T,0.36654331579229793,26.9
EL,U,0.6471277399848828,1.4
ES,A,0.25142081786486475,798.5
ES,B,0.35914744066667553,28.700000000000003
ES,C,0.3847486867080223,2513.8
ES,D,0.5674232990169715,93.6
ES,E,0.3642610558227615,141.6
ES,F,0.3326919404502365,1354.9
ES,G,0.4601036455645064,3009.5
ES,H,0.35497689426261325,1113.3
ES,I,0.4378238000188947,1666.3
ES,J,0.6356351333741559,737.5
ES,K,0.6365462356061828,472.0
ES,L,0.5911391458330897,160.79999999999998
ES,M,0.6785426671733709,1118.3
ES,N,0.3680833779073726,1062.9
ES,O,0.5482620751451807,1306.2
ES,P,0.6949088894885952,1494.5
ES,Q,0.5903253098524297,1884.8000000000002
ES,R,0.5652304856553998,427.6
ES,S,0.479965933849528,491.70000000000005
ES,T,0.2698011109474082,556.7
ES,U,0.547255291005291,1.2
EU27_2020,A,0.2667377894468428,7382.1
EU27_2020,B,0.38814236633378635,553.0
EU27_2020,C,0.4060184872464656,31930.0
EU27_2020,D,0.5388137952394383,1480.3
EU27_2020,E,0.39425161113687396,1662.3
EU27_2020,F,0.3494102300188925,13646.1
EU27_2020,G,0.4793231060854478,27436.7
EU27_2020,H,0.40410623937233253,10737.3
EU27_2020,I,0.4557428295041401,9096.099999999999
EU27_2020,J,0.6686550034997062,7454.900000000001
EU27_2020,K,0.6413788499999525,5510.900000000001
EU27_2020,L,0.5597043720290025,1797.2
EU27_2020,M,0.6647658741112833,11762.5
EU27_2020,N,0.4156106579830864,8315.599999999999
EU27_2020,O,0.5786265115354645,12968.8
EU27_2020,P,0.6699628599060135,14932.6
EU27_2020,Q,0.5729046715347058,22211.7
EU27_2020,R,0.5836315674557505,3404.7000000000003
EU27_2020,S,0.5019955828709229,5372.8
EU27_2020,T,0.29458334883287407,1900.1999999999998
EU27_2020,U,0.6883342320804255,147.3
FI,A,0.2648841512303904,92.5
FI,B,0.23080540858318638,3.3
FI,C,0.4404256472559512,331.0
FI,D,0.6683092378092378,11.5
FI,E,0.45349913556952165,11.799999999999999
FI,F,0.34932367561719807,182.0
FI,G,0.4657595101889688,288.2
FI,H,0.34873468116770406,134.7
FI,I,0.3942198122918707,96.4
FI,J,0.7115456913587165,130.9
FI,K,0.675982680848013,47.099999999999994
FI,L,0.5907432495559607,24.9
FI,M,0.6705530781889055,187.7
FI,N,0.40713790251394466,138.5
FI,O,0.633655440315362,114.89999999999999
FI,P,0.6849902104596004,182.0
FI,Q,0.5332426473610404,411.70000000000005
FI,R,0.5982632032442241,62.2
FI,S,0.5430684723827464,80.4
FI,T,0.460737381372302,6.4
FR,A,0.28806117777272183,717.2
FR,B,0.4203766098023658,32.7
FR,C,0.4296858290791594,3071.5
FR,D,0.5980405632330649,172.8
FR,E,0.44485055088242703,210.8
FR,F,0.3676498619677041,1826.7
FR,G,0.49101990176417337,3685.4
FR,H,0.42285514073448466,1426.1
FR,I,0.47647872932278396,1121.7
FR,J,0.6947706226765323,967.2
FR,K,0.6366195617937825,944.7
FR,L,0.5696665277788711,340.40000000000003
FR,M,0.6629549559846923,1832.8
FR,N,0.4453297979244516,1196.8
FR,O,0.5558325600409163,2112.4
FR,P,0.6528736610053042,2118.2
FR,Q,0.5306297992697546,3910.2000000000003
FR,R,0.5903370026014472,606.3
FR,S,0.5296387567079789,836.6
FR,T,0.26562406608841205,245.39999999999998
HR,A,0.25986019323751486,91.10000000000001
HR,C,0.3706210974625569,276.4
HR,D,0.5119613271631743,13.7
HR,E,0.3453896974429961,26.5
HR,F,0.3442497428204478,117.9
HR,G,0.48232729651137773,223.7
HR,H,0.407651769219807,102.5
HR,I,0.47274730466406306,98.9
HR,J,0.6718859293621199,54.6
