geo,nace_r2,time_period,gva_millions,hours_thousands,labor_productivity,AIIE_Index
NL,O,2012,45806.2,899232.0,50.93924593430838,0.630682507024656
NL,O,2013,46132.4,894772.0,51.55771526154149,0.630682507024656
NL,O,2014,45867.7,892036.0,51.419113129963364,0.630682507024656
NL,O,2015,45432.9,869201.0,52.26972817564637,0.630682507024656
NL,O,2016,45296.3,855024.0,52.976641591347146,0.630682507024656
NL,O,2017,45796.7,849054.0,53.93850096695852,0.630682507024656
NL,O,2018,45814.3,860417.0,53.24662343956477,0.630682507024656
NL,O,2019,46934.4,881324.0,53.25442175635748,0.630682507024656
NL,O,2020,48279.8,899009.0,53.70335558375945,0.630682507024656
NL,O,2021,48822.0,922292.0,52.935512831077354,0.630682507024656
NL,O,2022,50231.9,925913.0,54.25120934688248,0.630682507024656
NL,O,2023,51264.5,938987.0,54.59553753140352,0.630682507024656
NL,O,2024,53476.2,979137.0,54.615646227238884,0.630682507024656
NO,O,2008,15684.2,262300.0,59.79489134578727,0.6661606924777372
NO,O,2009,16314.9,269070.0,60.634407403277955,0.6661606924777372
NO,O,2010,16964.6,271550.0,62.473209353710175,0.6661606924777372
NO,O,2011,17508.0,278790.0,62.79995695684924,0.6661606924777372
NO,O,2012,17848.2,280140.0,63.71171557078603,0.6661606924777372
NO,O,2013,17858.0,277990.0,64.23972085326811,0.6661606924777372
NO,O,2014,18850.7,284200.0,66.3289936664321,0.6661606924777372
NO,O,2015,19689.8,291970.0,67.43775045381373,0.6661606924777372
NO,O,2016,20113.7,298397.0,67.40583853054822,0.6661606924777372
NO,O,2017,20562.4,297577.0,69.09942636695712,0.6661606924777372
NO,O,2018,21128.8,300017.0,70.42534256392138,0.6661606924777372
NO,O,2019,21533.3,301263.0,71.47674955105673,0.6661606924777372
NO,O,2020,22539.9,311662.0,72.32161764988996,0.6661606924777372
NO,O,2021,23081.1,319050.0,72.34320639398213,0.6661606924777372
NO,O,2022,23205.7,319382.0,72.6581335203612,0.6661606924777372
NO,O,2023,23708.6,322106.0,73.6049623415894,0.6661606924777372
NO,O,2024,24210.4,326843.0,74.0734848229884,0.6661606924777372
PL,O,2008,18851.3,2007646.0,9.389752974378949,0.6139185765512865
PL,O,2009,19831.5,2078017.0,9.543473417204961,0.6139185765512865
PL,O,2010,19481.8,2049323.0,9.506456522471078,0.6139185765512865
PL,O,2011,19211.0,2060530.0,9.323329434660014,0.6139185765512865
PL,O,2012,19037.3,2094446.0,9.089420304939827,0.6139185765512865
PL,O,2013,19090.7,2118618.0,9.010921270375311,0.6139185765512865
PL,O,2014,19084.7,2138791.0,8.923125260953503,0.6139185765512865
PL,O,2015,19246.0,2168783.0,8.87410128168655,0.6139185765512865
PL,O,2016,19236.2,2199345.0,8.746331294089831,0.6139185765512865
PL,O,2017,19280.4,2189570.0,8.805564562905046,0.6139185765512865
PL,O,2018,19396.2,2175023.0,8.917698801346008,0.6139185765512865
PL,O,2019,20460.6,2175278.0,9.405970179443731,0.6139185765512865
PL,O,2020,21227.2,2122220.0,10.00235602340945,0.6139185765512865
PL,O,2021,21390.6,2316386.0,9.234471284146942,0.6139185765512865
PL,O,2022,22174.4,2344998.0,9.45604217999333,0.6139185765512865
PL,O,2023,22926.5,2453017.0,9.346245867843557,0.6139185765512865
PL,O,2024,25671.5,2482017.0,10.34299926229353,0.6139185765512865
PT,O,2008,13937.5,573193.0,24.315544676923828,0.5447915989288042
PT,O,2009,13653.0,575506.0,23.723471171456076,0.5447915989288042
PT,O,2010,13145.7,568015.0,23.143226851403572,0.5447915989288042
PT,O,2011,12706.5,540606.0,23.504178643966213,0.5447915989288042
PT,O,2012,12608.0,536249.0,23.511465755647095,0.5447915989288042
PT,O,2013,12261.7,518663.0,23.640976896366237,0.5447915989288042
PT,O,2014,12083.0,529976.0,22.79914562168853,0.5447915989288042
PT,O,2015,12199.5,525913.0,23.19680251296317,0.5447915989288042
PT,O,2016,12178.0,507565.0,23.992986120004332,0.5447915989288042
PT,O,2017,12164.6,505615.0,24.05901723643484,0.5447915989288042
PT,O,2018,12065.6,497401.0,24.257289390250524,0.5447915989288042
PT,O,2019,12148.2,502558.0,24.172732301545295,0.5447915989288042
PT,O,2020,11838.2,487197.0,24.298589687539128,0.5447915989288042
PT,O,2021,12009.5,509794.0,23.557554620101453,0.5447915989288042
PT,O,2022,12035.0,501180.0,24.01332854463466,0.5447915989288042
PT,O,2023,12237.9,509905.0,24.000353006932666,0.5447915989288042
PT,O,2024,12408.2,513780.0,24.150803846004127,0.5447915989288042
RO,O,2008,4617.6,855982.0,5.394505959237462,0.5674634221789521
RO,O,2009,4038.1,888399.0,4.545367565699646,0.5674634221789521
RO,O,2010,5068.7,844073.0,6.005049326302346,0.5674634221789521
RO,O,2011,5215.1,831439.0,6.272378370511848,0.5674634221789521
RO,O,2012,5535.9,819261.0,6.757187269990881,0.5674634221789521
RO,O,2013,5350.9,792946.0,6.748126606351504,0.5674634221789521
RO,O,2014,4671.2,726877.0,6.426396763138742,0.5674634221789521
RO,O,2015,4544.7,818067.0,5.55541294294966,0.5674634221789521
RO,O,2016,5370.5,807888.0,6.647579862555206,0.5674634221789521
RO,O,2017,4655.0,777146.0,5.989865482161653,0.5674634221789521
RO,O,2018,4769.2,741759.0,6.429581575686981,0.5674634221789521
RO,O,2019,4876.0,769328.0,6.337998876941955,0.5674634221789521
RO,O,2020,4732.7,781646.0,6.054786949590992,0.5674634221789521
RO,O,2021,4737.5,760294.0,6.231142163426254,0.5674634221789521
RO,O,2022,4872.0,764230.0,6.375044162097797,0.5674634221789521
RO,O,2023,4860.9,699201.0,6.952078157782955,0.5674634221789521
RO,O,2024,4849.5,767019.0,6.322529168117088,0.5674634221789521
RS,O,2008,1829.5,271364.0,6.741867012573517,0.5807903711167767
RS,O,2009,1931.2,242531.0,7.9626934288812565,0.5807903711167767
RS,O,2010,1625.9,244701.0,6.64443545388045,0.5807903711167767
RS,O,2011,1665.4,247973.0,6.716053763917846,0.5807903711167767
RS,O,2012,1719.8,255787.0,6.7235629644978046,0.5807903711167767
RS,O,2013,1763.2,260696.0,6.763433270936263,0.5807903711167767
RS,O,2014,1738.9,258039.0,6.7389038091141265,0.5807903711167767
RS,O,2015,1678.5,260074.0,6.453932342333336,0.5807903711167767
RS,O,2016,1611.0,255938.0,6.294493197571287,0.5807903711167767
RS,O,2017,1828.4,256280.0,7.134384267207742,0.5807903711167767
RS,O,2018,1855.9,254396.0,7.295319108791019,0.5807903711167767
RS,O,2019,1915.3,253280.0,7.561986734049273,0.5807903711167767
RS,O,2020,1963.8,254226.0,7.724622973260013,0.5807903711167767
RS,O,2021,2045.3,249765.0,8.188897563709887,0.5807903711167767
RS,O,2022,2023.2,254520.0,7.9490806223479495,0.5807903711167767
RS,O,2023,1974.1,257414.0,7.66896905374222,0.5807903711167767
RS,O,2024,1974.2,262120.0,7.531664886311613,0.5807903711167767
SE,O,2008,13922.5,338080.0,41.181081400851866,0.650931008973595
SE,O,2009,13838.3,327550.0,42.247901083803995,0.650931008973595
SE,O,2010,14248.2,341650.0,41.70408312600615,0.650931008973595
SE,O,2011,13997.4,330900.0,42.30099728014506,0.650931008973595
SE,O,2012,14469.2,342700.0,42.221184709658594,0.650931008973595
SE,O,2013,14574.0,345700.0,42.15794041076078,0.650931008973595
SE,O,2014,14789.5,352350.0,41.97388959841067,0.650931008973595
SE,O,2015,14744.9,348500.0,42.30961262553802,0.650931008973595
SE,O,2016,15018.2,356000.0,42.18595505617978,0.650931008973595
SE,O,2017,15328.4,364120.0,42.09711084257937,0.650931008973595
SE,O,2018,15736.5,379600.0,41.455479452054796,0.650931008973595
SE,O,2019,15510.7,368880.0,42.0480915202776,0.650931008973595
SE,O,2020,15689.5,371250.0,42.26127946127946,0.650931008973595
SE,O,2021,16458.1,390400.0,42.15701844262295,0.650931008973595
SE,O,2022,16705.0,392490.0,42.56159392595989,0.650931008973595
SE,O,2023,17312.0,403470.0,42.90777505142886,0.650931008973595
SE,O,2024,17883.6,403470.0,44.32448509182838,0.650931008973595
SI,O,2008,1965.9,83155.0,23.64139258012146,0.6481160373494541
SI,O,2009,2020.6,85687.0,23.58117334017996,0.6481160373494541
SI,O,2010,2083.5,85651.0,24.32546029818683,0.6481160373494541
SI,O,2011,2080.4,86264.0,24.116665121023836,0.6481160373494541
SI,O,2012,2085.7,80169.0,26.016290586136783,0.6481160373494541
