STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",RO,Romania,2023,,490.4,,p,provisional,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",RO,Romania,2024,,538.3,,p,provisional,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",RS,Serbia,2008,,68.5,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",RS,Serbia,2009,,68.9,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",RS,Serbia,2010,,65.5,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",RS,Serbia,2011,,60.7,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",RS,Serbia,2012,,60.8,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",RS,Serbia,2013,,45.9,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",RS,Serbia,2014,,42.8,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",RS,Serbia,2015,,47.1,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",RS,Serbia,2016,,45.7,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",RS,Serbia,2017,,43.5,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",RS,Serbia,2018,,45.4,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",RS,Serbia,2019,,47.2,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",RS,Serbia,2020,,47.1,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",RS,Serbia,2021,,47.4,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",RS,Serbia,2022,,61.4,,,,,
